Table,Column
company,companyID
company,companyName
company,address
company,contactEmail
company,contactPhone
company,contact_person
company,gst
company,createdAt
project,projectID
project,companyID
project,projectName
project,projectAddress
project,deadline
project,remarks
project,createdAt
user,userid
user,username
user,password
user,companyID
user,projectID
user,role
user,createdDate
user,is_active
user,activated_at
parents,id
parents,full_name
parents,gender
parents,email
parents,phone
parents,address
parents,username
parents,password
parents,pin_hash
parents,status
parents,created_at
parent_profile_update_log,id
parent_profile_update_log,parent_id
parent_profile_update_log,field
parent_profile_update_log,old_value
parent_profile_update_log,new_value
parent_profile_update_log,updated_at
parent_profile_update_log,updated_by_userid
parent_profile_update_log,old_data
parent_profile_update_log,new_data
students,id
students,student_id
students,student_name
students,dob
students,gender
students,medical_issue
students,class_option
students,registration_date
students,approval_status
students,parentId
students,parent_id
students,status
students,payment_plan
students,payment_amount
students,payment_reference
students,payment_proof
students,created_at
teachers,id
teachers,user_id
teachers,full_name
teachers,email
teachers,phone
teachers,active
teachers,created_at
classes,id
classes,class_name
classes,description
classes,capacity
classes,schedule_text
classes,teacher_id
classes,active
classes,created_at
class_assignments,id
class_assignments,class_id
class_assignments,student_id
class_assignments,assigned_by
class_assignments,assigned_at
attendance,id
attendance,class_id
attendance,student_id
attendance,teacher_id
attendance,attendance_date
attendance,status
attendance,notes
attendance,created_at
attendance,batch_id
attendance,campus_key
attendance,marked_at
attendance,user_id
fees_settings,id
fees_settings,bank_name
fees_settings,account_name
fees_settings,bsb
fees_settings,account_number
fees_settings,bank_notes
fees_settings,due_term1
fees_settings,due_term2
fees_settings,due_term3
fees_settings,due_term4
fees_settings,amount_termwise
fees_settings,amount_halfyearly
fees_settings,amount_yearly
fees_settings,updated_at
fees_settings,campus_one_name
fees_settings,campus_two_name
fees_settings,term1_total_classes
fees_settings,term2_total_classes
fees_settings,term3_total_classes
fees_settings,term4_total_classes
fees_settings,website_notify_email
fees_settings,class_notify_email
fees_payments,id
fees_payments,student_id
fees_payments,plan_type
fees_payments,installment_code
fees_payments,due_amount
fees_payments,status
fees_payments,proof_path
fees_payments,payment_reference
fees_payments,created_at
payments,id
payments,student_id
payments,parent_id
payments,amount
payments,proof_path
payments,status
payments,uploaded_at
account_head_type,id
account_head_type,typeName
account_head,id
account_head,accountHeadName
account_head,accountHeadTypeID
account_head,companyID
account_head,projectID
account_head,createdAt
account_head_sub,id
account_head_sub,subAccountName
account_head_sub,accountHeadID
account_head_sub,companyID
account_head_sub,projectID
account_head_sub,createdAt
journal_entry,id
journal_entry,date
journal_entry,accountHeadID
journal_entry,subAccountHeadID
journal_entry,description
journal_entry,refNo
journal_entry,amount
journal_entry,remarks
journal_entry,companyID
journal_entry,projectID
journal_entry,createdAt
banner,id
banner,title
banner,subtitle
banner,imgUrl
menu,id
menu,menuName
menu,menuDetail
menu,menuImgUrl
menu,price
menu,eventStartDateTime
ourteam,id
ourteam,Name
ourteam,designation
ourteam,imgUrl
ourteam,member_type
about,id
about,description
about,imgUrl
contact,id
contact,name
contact,email
contact,subject
contact,message
contact,created_at
sign_in_out,id
sign_in_out,class_id
sign_in_out,student_id
sign_in_out,parent_id
sign_in_out,signed_in_at
sign_in_out,signed_out_at
sign_in_out,note
sign_in_out,created_at
password_resets,id
password_resets,user_email
password_resets,token_hash
password_resets,expires_at
password_resets,used_at
password_resets,created_at
password_resets,request_ip
password_resets,user_agent
events,id
events,title
events,description
events,event_date
events,start_time
events,end_time
events,location
events,sponsors
events,contacts
events,image
events,status
events,created_at
events,updated_at
bookings,id
bookings,event_id
bookings,name
bookings,address
bookings,phone
bookings,email
bookings,message
bookings,status
bookings,created_at
bookings,updated_at
pcm_bank_accounts,id
pcm_bank_accounts,bank_name
pcm_bank_accounts,account_name
pcm_bank_accounts,bsb
pcm_bank_accounts,account_number
pcm_bank_accounts,reference_hint
pcm_bank_accounts,is_active
pcm_bank_accounts,created_at
pcm_bank_accounts,updated_at
pcm_enrolments,id
pcm_enrolments,student_id
pcm_enrolments,parent_id
pcm_enrolments,fee_plan
pcm_enrolments,fee_amount
pcm_enrolments,payment_ref
pcm_enrolments,proof_path
pcm_enrolments,status
pcm_enrolments,admin_note
pcm_enrolments,reviewed_by
pcm_enrolments,reviewed_at
pcm_enrolments,submitted_at
pcm_enrolments,campus_preference
pcm_fee_payments,id
pcm_fee_payments,enrolment_id
pcm_fee_payments,student_id
pcm_fee_payments,parent_id
pcm_fee_payments,plan_type
pcm_fee_payments,instalment_label
pcm_fee_payments,due_amount
pcm_fee_payments,paid_amount
pcm_fee_payments,payment_ref
pcm_fee_payments,proof_path
pcm_fee_payments,status
pcm_fee_payments,reject_reason
pcm_fee_payments,verified_by
pcm_fee_payments,verified_at
pcm_fee_payments,due_date
pcm_fee_payments,submitted_at
pcm_fee_payments,created_at
pcm_fee_payments,class_charge_id
pcm_kiosk_log,id
pcm_kiosk_log,child_id
pcm_kiosk_log,parent_id
pcm_kiosk_log,log_date
pcm_kiosk_log,time_in
pcm_kiosk_log,time_out
pcm_kiosk_log,method
pcm_kiosk_log,created_at
pcm_absence_requests,id
pcm_absence_requests,child_id
pcm_absence_requests,parent_id
pcm_absence_requests,absence_date
pcm_absence_requests,reason
pcm_absence_requests,status
pcm_absence_requests,admin_note
pcm_absence_requests,decided_by
pcm_absence_requests,decided_at
pcm_absence_requests,created_at
pcm_kiosk_failed,id
pcm_kiosk_failed,phone
pcm_kiosk_failed,ip_address
pcm_kiosk_failed,attempted_at
pcm_kiosk_tokens,id
pcm_kiosk_tokens,token
pcm_kiosk_tokens,expires_at
pcm_kiosk_tokens,used
pcm_kiosk_tokens,used_by_ip
pcm_kiosk_tokens,created_at
patrons,id
patrons,parent_id
patrons,full_name
patrons,email
patrons,phone
patrons,address
patrons,patron_type
patrons,status
patrons,notes
patrons,created_at
patrons,updated_at
account_activation_tokens,id
account_activation_tokens,user_id
account_activation_tokens,user_email
account_activation_tokens,token_hash
account_activation_tokens,expires_at
account_activation_tokens,used_at
account_activation_tokens,created_at
classroom_announcements,id
classroom_announcements,title
classroom_announcements,message
classroom_announcements,category
classroom_announcements,scope_type
classroom_announcements,posted_by_user_id
classroom_announcements,posted_by_username
classroom_announcements,posted_by_name
classroom_announcements,posted_by_role
classroom_announcements,created_at
classroom_announcements,updated_at
classroom_announcement_classes,announcement_id
classroom_announcement_classes,class_id
classroom_reports,id
classroom_reports,class_id
classroom_reports,student_id
classroom_reports,teacher_id
classroom_reports,report_title
classroom_reports,report_type
classroom_reports,feedback_text
classroom_reports,created_by_user_id
classroom_reports,created_by_name
classroom_reports,created_at
classroom_reports,updated_at
classroom_report_comments,id
classroom_report_comments,report_id
classroom_report_comments,parent_id
classroom_report_comments,commenter_name
classroom_report_comments,comment_text
classroom_report_comments,created_at
classroom_report_comments,read_by_teacher_at
classroom_report_comments,read_by_admin_at
app_notifications,id
app_notifications,target_username
app_notifications,target_role
app_notifications,title
app_notifications,body
app_notifications,level
app_notifications,link_url
app_notifications,is_read
app_notifications,created_at
app_notifications,read_at
admin_profiles,user_id
admin_profiles,full_name
admin_profiles,title
admin_profiles,phone
admin_profiles,address
admin_profiles,created_at
admin_profiles,updated_at
pcm_enrolment_audit,id
pcm_enrolment_audit,enrolment_id
pcm_enrolment_audit,student_id
pcm_enrolment_audit,event_type
pcm_enrolment_audit,actor
pcm_enrolment_audit,details
pcm_enrolment_audit,created_at
mail_queue,id
mail_queue,to_email
mail_queue,to_name
mail_queue,subject
mail_queue,html_body
mail_queue,attempts
mail_queue,max_attempts
mail_queue,status
mail_queue,last_error
mail_queue,created_at
mail_queue,available_at
mail_queue,sent_at
audit_logs,id
audit_logs,occurred_at
audit_logs,user_id
audit_logs,username
audit_logs,role
audit_logs,ip_address
audit_logs,route
audit_logs,method
audit_logs,action_name
audit_logs,entity
audit_logs,status
audit_logs,details_json
user_module_access_overrides,id
user_module_access_overrides,user_id
user_module_access_overrides,username
user_module_access_overrides,module_key
user_module_access_overrides,action_key
user_module_access_overrides,effect
user_module_access_overrides,is_active
user_module_access_overrides,created_by
user_module_access_overrides,created_at
user_module_access_overrides,updated_at
email_verification_codes,id
email_verification_codes,email
email_verification_codes,code_hash
email_verification_codes,purpose
email_verification_codes,attempts
email_verification_codes,verified_at
email_verification_codes,expires_at
email_verification_codes,created_at
pcm_class_fee_charges,id
pcm_class_fee_charges,class_id
pcm_class_fee_charges,charge_title
pcm_class_fee_charges,amount
pcm_class_fee_charges,description
pcm_class_fee_charges,due_date
pcm_class_fee_charges,is_active
pcm_class_fee_charges,created_by
pcm_class_fee_charges,created_at
pcm_class_fee_charges,updated_at
kiosk_pin_resets,
db_migrations,id
db_migrations,migration
db_migrations,applied_at
